pdg code,inv mass,momentum,energy
-3,0,0.453,0.453
21,0,2430.286,2430.286
-3,0.5,1.136,1.242
21,0,2429.497,2429.497
-3,0.5,0.343,0.606
21,0,2.074,2.074
21,0,2428.059,2428.059
21,0,2400.335,2400.335
21,0,27.754,27.754
21,0,2.044,2.044
-3,0,1.25,1.25
21,0,2430.341,2430.341
-3,0.5,0.874,1.007
21,0,2402.138,2402.138
21,0,1.162,1.162
21,0,27.286,27.286
2203,0.771,6611.441,6611.441
1,0.33,265.822,265.822
3,0.5,122.284,122.286
2101,0.579,3912.362,3912.362
2,0.33,656.497,656.497
3,0.5,122.284,122.286
2203,0.771,6611.441,6611.441
-311,0.498,93.723,93.724
111,0.135,322.532,322.532
-211,0.14,1173.266,1173.266
111,0.135,1741.63,1741.63
2212,0.938,1650.677,1650.677
211,0.14,1751.897,1751.897
2,0.33,656.497,656.497
21,0,2402.138,2402.138
21,0,27.286,27.286
21,0,1.162,1.162
-3,0.5,0.874,1.007
211,0.14,281.754,281.754
1114,1.139,1360.074,1360.074
211,0.14,79.445,79.445
-2212,0.938,396.95,396.951
111,0.135,38.815,38.816
211,0.14,509.797,509.797
-211,0.14,265.196,265.196
211,0.14,107.093,107.093
-211,0.14,17.666,17.667
211,0.14,2.987,2.991
111,0.135,16.623,16.624
111,0.135,6.577,6.579
-211,0.14,1.154,1.163
221,0.548,2.78,2.833
111,0.135,0.498,0.516
321,0.494,0.325,0.591
1,0.33,265.822,265.822
2101,0.579,3912.362,3912.362
-213,0.817,105.804,105.807
321,0.494,127.888,127.889
-321,0.494,16.591,16.598
211,0.14,3.557,3.56
113,0.756,6.988,7.029
223,0.787,2.599,2.716
-211,0.14,0.415,0.438
223,0.787,0.418,0.891
2214,1.135,0.753,1.362
-2114,1.349,1.265,1.85
113,0.778,5.397,5.453
221,0.548,7.699,7.718
-211,0.14,4.613,4.615
223,0.811,41.899,41.906
221,0.548,180.164,180.165
213,0.729,554.972,554.973
2112,0.94,3115.215,3115.215
310,0.498,93.723,93.724
2112,0.94,1249.529,1249.529
-211,0.14,110.545,110.545
-211,0.14,97.855,97.855
111,0.135,7.951,7.952
211,0.14,5.615,5.617
-211,0.14,1.405,1.412
2212,0.938,0.522,1.074
111,0.135,0.255,0.288
-2112,0.94,1.253,1.566
111,0.135,0.249,0.284
211,0.14,3.189,3.192
-211,0.14,2.256,2.261
211,0.14,409.593,409.593
111,0.135,145.38,145.38
22,0,161.681,161.681
22,0,160.851,160.851
22,0,1082.586,1082.586
22,0,659.045,659.045
22,0,17.082,17.082
22,0,21.734,21.734
22,0,13.121,13.121
22,0,3.502,3.502
22,0,2.292,2.292
22,0,4.287,4.287
22,0,1.933,1.933
22,0,0.9,0.9
22,0,0.259,0.259
22,0,0.256,0.256
211,0.14,1.236,1.243
-211,0.14,0.13,0.191
111,0.135,1.275,1.282
211,0.14,0.24,0.278
-211,0.14,0.415,0.438
111,0.135,0.113,0.176
22,0,6.352,6.352
22,0,1.366,1.366
211,0.14,24.848,24.849
-211,0.14,1.995,2
111,0.135,15.057,15.058
111,0.135,42.244,42.244
111,0.135,110.729,110.729
111,0.135,27.191,27.191
211,0.14,17.064,17.065
-211,0.14,76.659,76.66
22,0,6.322,6.322
22,0,1.63,1.63
22,0,0.143,0.143
22,0,0.146,0.146
22,0,0.078,0.078
22,0,0.205,0.205
22,0,12.149,12.149
22,0,133.231,133.231
22,0,1.076,1.076
22,0,0.205,0.205
22,0,0.037,0.037
22,0,0.139,0.139
22,0,9.286,9.286
22,0,5.772,5.772
22,0,12.91,12.91
22,0,29.334,29.334
22,0,56.771,56.771
22,0,53.958,53.958
22,0,10.856,10.856
22,0,16.335,16.335
